"","site","Site.code","lat","lon","Country","Province.or.district","RFZ","Biome","Stratigraphic.context","Dating.technique","Material.dated","Species","Lab.ID","c14age","c14std","Archaeological.Period","culture","Sample.context","Site.Type","delta.13","refcode","Notes"
"67","Ntloana Tšoana","NTL",-29.317,27.817,"Lesotho","Maseru District","S","Grassland Biome","Phase 4a (125)","conventional 14C","charcoal","","UGAMS-8978",9530,30,"LSA","Oakhurst","","rock shelter",NA,"roberts2013sci",""
"68","Bushman Rock  Shelter","BRS",-24.583,30.633,"South Africa","Limpopo","S","Savanna Biome","Level 5","conventional 14C","","","GrN-4854",9510,55,"LSA","Oakhurst","","rock shelter",NA,"plug1981bs; vogel1969rdb",""
"69","Ntloana Tšoana","NTL",-29.317,27.817,"Lesotho","Maseru District","S","Grassland Biome","Phase 5a (386)","AMS","charcoal","Erica sp. ","OxA-26231",9505,55,"LSA","Oakhurst","","rock shelter",NA,"roberts2013sci",""
"70","Ntloana Tšoana","NTL",-29.317,27.817,"Lesotho","Maseru District","S","Grassland Biome","Phase 5a (414=025 in 1989)","conventional 14C","charcoal","","Pta-5237 ",9420,110,"LSA","Oakhurst","","rock shelter",NA,"mitchell1993ail",""
"71","Ntloana Tšoana","NTL",-29.317,27.817,"Lesotho","Maseru District","S","Grassland Biome","Phase 3diii (102)","conventional 14C","charcoal","","UGAMS-8975",9420,30,"LSA","Oakhurst","","rock shelter",NA,"roberts2013sci",""
"72","Siphiso","SIP",-26.3,31.967,"Swaziland","Lubombo Region","S","Savanna Biome","Stratum VI","conventional 14C","snail","","TX-5628",9380,90,"LSA","Oakhurst","","rock shelter",NA,"barham1989rdn",""
"73","Siphiso","SIP",-26.3,31.967,"Swaziland","Lubombo Region","S","Savanna Biome","Stratum VII","conventional 14C","bone","","Y-1996",9370,160,"LSA","Oakhurst","","rock shelter",NA,"barham1989rdn",""
"74","Siphiso","SIP",-26.3,31.967,"Swaziland","Lubombo Region","S","Savanna Biome","Stratum VII","conventional 14C","eggshell","Struthio camelus","TX-5629",9360,190,"LSA","Oakhurst","","rock shelter",NA,"barham1989rdn",""
"75","Ntloana Tšoana","NTL",-29.317,27.817,"Lesotho","Maseru District","S","Grassland Biome","Phase 4 (160)","AMS","charcoal","Xymalos monospora","OxA-26230",9335,30,"LSA","Oakhurst","","rock shelter",NA,"roberts2013sci",""
"76","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","","AMS","bone","","OxA-32453",9325,45,"LSA","Oakhurst","","rock shelter",NA,"loftus2016rdb",""
"77","Ha Makotoko","HMA",-29.333,27.8,"Lesotho","Maseru District","S","Grassland Biome","6","AMS","charcoal","","UGAMS-8985",9320,30,"LSA","Oakhurst","","rock shelter",NA,"mitchell2014mls",""
"78","Ha Makotoko","HMA",-29.333,27.8,"Lesotho","Maseru District","S","Grassland Biome","6","conventional 14C","charcoal","","Pta-5204 ",9290,90,"LSA","Oakhurst","","rock shelter",NA,"mitchell2014mls",""
"79","Sehonghong","SHH",-29.75,28.75,"Lesotho","Thaba-Tseka","S","Grassland Biome","SA","conventional 14C","","","Pta-6368 ",9280,45,"LSA","Oakhurst","","rock shelter",NA,"mitchell1996qlh",""
"80","Kangkara Cave","KRA",-33.783,23.083,"South Africa","Western Cape","Y","Fynbos Biome","YBL","conventional 14C","bone","","Pta-2307 ",9260,90,"LSA","Oakhurst","","rock shelter",NA,"deacon1984lss",""
"81","Rose Cottage Cave","RCC",-29.25,27.5,"South Africa","Free State","S","Grassland Biome","O ","conventional 14C","charcoal","","Pta-5599",9250,70,"LSA","Oakhurst","","rock shelter",NA,"wadley2000ehl",""
"82","Heuningsneskrans","HNK",-24.6,30.65,"South Africa","Limpopo","S","Savanna Biome","Stratum 2a - 69-122cm","conventional 14C","eggshell","Struthio camelus","LJ-3198",9230,100,"LSA","Oakhurst","","rock shelter",NA,"linick1977jnr",""
"83","Ha Makotoko","HMA",-29.333,27.8,"Lesotho","Maseru District","S","Grassland Biome","6","AMS","charcoal","","UGAMS-11599",9220,30,"LSA","Oakhurst","","rock shelter",NA,"mitchell2014mls",""
"84","Ha Makotoko","HMA",-29.333,27.8,"Lesotho","Maseru District","S","Grassland Biome","6","AMS","charcoal","","OxA-27313",9215,45,"LSA","Oakhurst","","rock shelter",NA,"mitchell2014mls",""
"85","Ntloana Tšoana","NTL",-29.317,27.817,"Lesotho","Maseru District","S","Grassland Biome","Phase 3diii (109)","conventional 14C","charcoal","","UGAMS-8976",9150,30,"LSA","Oakhurst","","rock shelter",NA,"roberts2013sci","Out of sequence"
"86","Ha Makotoko","HMA",-29.333,27.8,"Lesotho","Maseru District","S","Grassland Biome","6","AMS","charcoal","","OxA-27312",9115,40,"LSA","Oakhurst","","rock shelter",NA,"mitchell2014mls",""
"87","Boomplaas","BMP",-33.383,22.183,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","","","UW-410 ",9100,135,"LSA","Oakhurst","","rock shelter",NA,"deacon1984lss",""
"88","Kruger Cave","KRU",-25.75,27.25,"South Africa","North West Province","S","Savanna Biome","","conventional 14C","","","KRU-7",9090,90,"LSA","Oakhurst","","rock shelter",NA,"mason1988kop",""
"89","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","Jake","conventional 14C","charcoal","","Pta-391 ",8990,80,"LSA","Oakhurst","","rock shelter",NA,"deacon1984lss",""
"90","Buffelskloof","BUF",-33.667,21.867,"South Africa","Western Cape","Y","Thicket Biome","HE1","conventional 14C","","","Pta-1484",8960,80,"LSA","Oakhurst","","rock shelter",NA,"opperman1978ebs",""
"91","Ha Makotoko","HMA",-29.333,27.8,"Lesotho","Maseru District","S","Grassland Biome","5","conventional 14C","charcoal","","Pta-5192 ",8950,80,"LSA","Oakhurst","","rock shelter",NA,"mitchell2014mls",""
"92","Oakhurst","OAK",-33.933,22.617,"South Africa","Western Cape","Y","Forests","","conventional 14C","bone","","Pta-410",8950,90,"LSA","Oakhurst","","rock shelter",NA,"patrick1989aas",""
"93","Ntloana Tšoana","NTL",-29.317,27.817,"Lesotho","Maseru District","S","Grassland Biome","Phase 3b (030)","AMS","charcoal","Leucosidea sericea","OxA-32160",8945,45,"LSA","Oakhurst","","rock shelter",NA,"mitchell2012am",""
"94","Ntloana Tšoana","NTL",-29.317,27.817,"Lesotho","Maseru District","S","Grassland Biome","Phase 3a (042)","AMS","charcoal","Leucosidea sericea","OxA-X-2460-48",8905,70,"LSA","Oakhurst","","rock shelter",NA,"roberts2013sci",""
"95","Heuningsneskrans","HNK",-24.6,30.65,"South Africa","Limpopo","S","Savanna Biome","Stratum 3b - 23-53cm","conventional 14C","eggshell","Struthio camelus","LJ-3199",8880,100,"LSA","Oakhurst","","rock shelter",NA,"linick1977jnr",""
"96","Elands Bay Cave","EBC",-32.317,18.318,"South Africa","Western Cape","W","Fynbos Biome","BURO","conventional 14C","","","Pta-5305",8860,90,"LSA","Oakhurst","","rock shelter",NA,"parkington1992mss",""
"97","Siphiso","SIP",-26.3,31.967,"Swaziland","Lubombo Region","S","Savanna Biome","Stratum VII","conventional 14C","eggshell","Struthio camelus","TX-5630",8860,180,"LSA","Oakhurst","","rock shelter",NA,"barham1989rdn",""
"98","Ntloana Tšoana","NTL",-29.317,27.817,"Lesotho","Maseru District","S","Grassland Biome","Phase 3a (040)","AMS","charcoal","Leucosidea sericea","OxA-32161",8820,40,"LSA","Oakhurst","","rock shelter",NA,"mitchell2012am",""
"99","Ntloana Tšoana","NTL",-29.317,27.817,"Lesotho","Maseru District","S","Grassland Biome","Phase 3di (046)","AMS","charcoal","Leucosidea sericea","OxA-32158",8802,39,"LSA","Oakhurst","","rock shelter",NA,"mitchell2012am",""
"100","Ntloana Tšoana","NTL",-29.317,27.817,"Lesotho","Maseru District","S","Grassland Biome","Phse 3e (111=021 in 1989)","conventional 14C","charcoal","","UGAMS-8977",8790,30,"LSA","Oakhurst","","rock shelter",NA,"roberts2013sci","Out of sequence"
"101","Ntloana Tšoana","NTL",-29.317,27.817,"Lesotho","Maseru District","S","Grassland Biome","Phase 3a (MCS 004)","conventional 14C","charcoal","","Pta-5238 ",8780,30,"LSA","Oakhurst","","rock shelter",NA,"mitchell1993ail",""
"102","Ha Makotoko","HMA",-29.333,27.8,"Lesotho","Maseru District","S","Grassland Biome","5","AMS","charcoal","","UGAMS-11597",8710,30,"LSA","Oakhurst","","rock shelter",NA,"mitchell2014mls",""
"103","Siphiso","SIP",-26.3,31.967,"Swaziland","Lubombo Region","S","Savanna Biome","Stratum VII","conventional 14C","bone","","Pta-3540",8700,120,"LSA","Oakhurst","","rock shelter",NA,"barham1989rdn",""
"104","Ntloana Tšoana","NTL",-29.317,27.817,"Lesotho","Maseru District","S","Grassland Biome","Phase 3a (060)","conventional 14C","charcoal","","UGAMS-8974",8690,30,"LSA","Oakhurst","","rock shelter",NA,"roberts2013sci",""
"105","Tloutle","TLT",-29.467,27.767,"Lesotho","Maseru District","S","Grassland Biome","GS","conventional 14C","charcoal","","Pta-5172",8680,70,"LSA","Oakhurst","","rock shelter",NA,"mitchell1993ats",""
"106","Rose Cottage Cave","RCC",-29.25,27.5,"South Africa","Free State","S","Grassland Biome","H ","conventional 14C","charcoal","","Pta-5560 ",8614,38,"LSA","Oakhurst","","rock shelter",NA,"wadley2000ehl",""
"107","Ha Makotoko","HMA",-29.333,27.8,"Lesotho","Maseru District","S","Grassland Biome","5","AMS","charcoal","","OxA-27311",8595,45,"LSA","Oakhurst","","rock shelter",NA,"mitchell2014mls",""
"108","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","","conventional 14C","marine shell","Patella sp. ","UW-184 ",8570,170,"LSA","Oakhurst","","rock shelter",NA,"deacon1984lss",""
"109","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","","AMS","bone","","OxA-32451",8550,37,"LSA","Oakhurst","","rock shelter",NA,"loftus2016rdb",""
"110","Blydefontein","BLY",-31.133,25.05,"South Africa","Northern Cape","S","Grassland Biome","CY-CAU8","conventional 14C","charcoal","","SMU-1823",8541,417,"LSA","Oakhurst","","rock shelter",NA,"bousman2005cls; bousman2016qed","Lockshoek"
"111","Jubilee Shelter","JBS",-25.683,27.983,"South Africa","Gauteng","S","Savanna Biome","R D2/D3","conventional 14C","charcoal","","Wits-1436",8500,240,"LSA","Oakhurst","","rock shelter",NA,"wadley1987lsh",""
"112","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","","AMS","bone","","OxA-32452",8447,39,"LSA","Oakhurst","","rock shelter",NA,"loftus2016rdb",""
"113","Rose Cottage Cave","RCC",-29.25,27.5,"South Africa","Free State","S","Grassland Biome","JaG","conventional 14C","charcoal","","Pta-5600 ",8380,70,"LSA","Oakhurst","","rock shelter",NA,"wadley2000ehl",""
"114","Ha Makotoko","HMA",-29.333,27.8,"Lesotho","Maseru District","S","Grassland Biome","4","conventional 14C","charcoal","","Pta-5191 ",8370,80,"LSA","Oakhurst","","rock shelter",NA,"mitchell2014mls",""
"115","Rose Cottage Cave","RCC",-29.25,27.5,"South Africa","Free State","S","Grassland Biome","Ph","conventional 14C","charcoal","","Pta-7287",8350,70,"LSA","Oakhurst","","rock shelter",NA,"pienaar2008osl",""
"116","Wilton Large Rock Shelter","WLR",-33.325,26.142,"South Africa","Eastern Cape","Y","Fynbos Biome","burial, Layer 3?","conventional 14C","charcoal","","GaK-1541",8260,720,"LSA","Oakhurst","","rock shelter",NA,"deacon1972waa",""
"117","Rose Cottage Cave","RCC",-29.25,27.5,"South Africa","Free State","S","Grassland Biome","Ja","conventional 14C","charcoal","","Pta-7122 ",8160,70,"LSA","Oakhurst","","rock shelter",NA,"wadley2000ehl",""
"118","Nelson Bay Cave","NBC",-34.101,23.378,"South Africa","Western Cape","Y","Fynbos Biome","Rice B","conventional 14C","other","","UW-181 ",8070,240,"LSA","Oakhurst","","rock shelter",NA,"deacon1984lss","charcoal frags, shells sand mixed in"
"119","Bonawe","BOW",-31.317,27.817,"South Africa","Eastern Cape","S","Grassland Biome","Layer 3c","conventional 14C","charcoal","","Pta-1709",8040,100,"LSA","Oakhurst","","rock shelter",NA,"opperman1987lsd",""
"120","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","charcoal","","Pta-6688 ",7920,100,"LSA","Oakhurst","","rock shelter",NA,"dockel1998imr","Forest"
"121","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","charcoal","","Pta-6687 ",7900,340,"LSA","Oakhurst","","rock shelter",NA,"dockel1998imr","Forest"
"122","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","marine shell","","Pta-6831 ",7685,30,"LSA","Oakhurst","","rock shelter",NA,"dockel1998imr","Forest"
"123","Melkhoutboom","MKB",-33.317,25.283,"South Africa","Eastern Cape","Y","Thicket Biome","medium brown series","conventional 14C","","","Pta-666 ",7660,80,"LSA","Oakhurst","","rock shelter",NA,"deacon1976whg",""
"124","Siphiso","SIP",-26.3,31.967,"Swaziland","Lubombo Region","S","Savanna Biome","Stratum VI","conventional 14C","bone","","Pta-3533",7600,80,"LSA","Oakhurst","","rock shelter",NA,"barham1989rdn",""
"125","Kruger Cave","KRU",-25.75,27.25,"South Africa","North West Province","S","Savanna Biome","","conventional 14C","","","KRU-6",7500,60,"LSA","Oakhurst","","rock shelter",NA,"mason1988kop",""
"126","Matjies River","MTR",-34.017,23.417,"South Africa","Western Cape","Y","Azonal Vegetation","","conventional 14C","charcoal","","Pta-6823 ",7400,30,"LSA","Oakhurst","","rock shelter",NA,"dockel1998imr","Forest"
"127","Kangkara Cave","KRA",-33.783,23.083,"South Africa","Western Cape","Y","Fynbos Biome","PBW","conventional 14C","bone","","Pta-2812 ",7330,100,"LSA","Oakhurst","","rock shelter",NA,"deacon1984lss",""
"128","Sehonghong","SHH",-29.75,28.75,"Lesotho","Thaba-Tseka","S","Grassland Biome","ALP","conventional 14C","","","Pta-6072 ",7210,80,"LSA","Oakhurst","","rock shelter",NA,"mitchell1996qlh",""
"129","Heuningsneskrans","HNK",-24.6,30.65,"South Africa","Limpopo","S","Savanna Biome","Stratum 3b - 45-70cm","conventional 14C","charred bone","","Pta-112",7200,70,"LSA","Oakhurst","","rock shelter",NA,"vogel1971prd",""
"130","Sehonghong","SHH",-29.75,28.75,"Lesotho","Thaba-Tseka","S","Grassland Biome","ALP","conventional 14C","","","Pta-6278 ",7150,80,"LSA","Oakhurst","","rock shelter",NA,"mitchell1996qlh",""
"131","Sehonghong","SHH",-29.75,28.75,"Lesotho","Thaba-Tseka","S","Grassland Biome","ALP","conventional 14C","","","Pta-6280 ",7090,80,"LSA","Oakhurst","","rock shelter",NA,"mitchell1996qlh",""
"132","Sehonghong","SHH",-29.75,28.75,"Lesotho","Thaba-Tseka","S","Grassland Biome","ALP","conventional 14C","","","Pta-6083 ",7010,70,"LSA","Oakhurst","","rock shelter",NA,"mitchell1996qlh",""
"133","Kruger Cave","KRU",-25.75,27.25,"South Africa","North West Province","S","Savanna Biome","","conventional 14C","","","KRU-5",6760,100,"LSA","Oakhurst","","rock shelter",NA,"mason1988kop",""
